<sos>우리 동생<sos>	우리 동생
<sos>디스켓을 누르십ㄴ<sos>	디스켓을 뺄 때는 
<sos>촬영하면서<sos>	촬영하면서 
<sos>이 자에는 미터바<sos>	이 자에는 밀리미
<sos>그때 오아시스<sos>	그때 오아시스
<sos>스키<sos>	스키
<sos>기독교랑 가톨릭<sos>	기독교랑 가톨릭
<sos>요즘 트렌트를 알<sos>	요즘 트렌트를 알
<sos>승마를 애는<sos>	승마를 레저로
<sos>어제 뷔페에서 너<sos>	어제 뷔페에서 너
<sos>오늘 파마를<sos>	오늘 파마를 
<sos>이번 시즌 패션<sos>	이번 시즌 패션
<sos>사<sos>	사
<sos>카운<sos>	타워가
<sos>드리<sos>	드레
<sos>오늘 같은 발라<sos>	오늘 같은 날씨
<sos>남은 돈이 별ㄹ<sos>	남은 돈이 별로
<sos>나 이번에 서비ㅅ<sos>	나 이번에 서비스
<sos>어제 받은<sos>	어제 받은 
<sos>이<sos>	아
<sos>이번 여행은<sos>	이번 여행은 
<sos>그 가장<sos>	그 화장
<sos>다이는 다 있는<sos>	다른 도구는 다 
<sos>어제 했던<sos>	어제 했던 
<sos>핀<sos>	핀
<sos>이 말을 대크<sos>	이 말을 남긴
<sos>요즘 바이든<sos>	요즘 바이든 
<sos>까르띠<sos>	까르띠
<sos>제일 재미있게 ㅂ<sos>	제일 재미있게 보
<sos>카툭<sos>	카트
<sos>제빵에는 계량ㅇ<sos>	제빵에는 계량이
<sos>돈<sos>	돈
<sos>혹시 포크 하ㄴ<sos>	혹시 포크 하나
<sos>자취생을 이ㅇ<sos>	자취생을 위
<sos>다들 내가 알<sos>	다들 내가 나사
<sos>통풍이 안 돼<sos>	통풍이 안 돼
<sos><sos>	
<sos>마로배<sos>	마룬파
<sos>로그<sos>	로그 
<sos>홈페이<sos>	홈페이
<sos>브랜드 선호도<sos>	브랜드 선호도 
<sos>카트보다 재밌<sos>	카트보다 재밌
<sos>테트리스만 하<sos>	테트리스만 하
<sos>나는 이번에 ㅇ<sos>	나는 이번에 영
<sos>지난여름 휴가<sos>	지난여름 휴가 
<sos>아마존<sos>	아마존
<sos>곱치<sos>	옵치
<sos>은근 꿔바로우<sos>	은근 꿔바로우
<sos>원 콜<sos>	원 콜 
<sos>캠핑<sos>	캠페
<sos>쿠킹<sos>	쿠킹
<sos>특인 전에 산ㅌ<sos>	퇴근 전에 상사
<sos>내 친구는 영화<sos>	내 친구는 영화 
<sos>한국 사이는 여<sos>	한국 사회는 여
<sos>미용실에선 항<sos>	미용실에선 항
<sos>케이<sos>	케이
<sos>코튼<sos>	코튼
<sos>최근 들어 가스ㄹ<sos>	최근 들어 가스라
<sos>거<sos>	거
<sos>노아위성은 대겨<sos>	노아위성은 대기
<sos>치코처 카센터<sos>	집 근처 카센
<sos>그 피아노 하려면<sos>	급변하는 콘셉
<sos>시료기 점점에서<sos>	시력이 점점 나
<sos>일본 호텔 로비<sos>	일본 호텔 로비
<sos>오늘은 카레르<sos>	오늘은 감자가 
<sos>어릴 적 후르<sos>	어릴 적 캐슈
<sos>다카메라<sos>	나는 치
<sos>어릴 적<sos>	어릴 적 
<sos>체육관 받아이고<sos>	체육관 바닥에 매
<sos>컬리<sos>	컬러
<sos>폭스바겐의 디젤차<sos>	폭스바겐의 디젤차 
<sos>삼촌은<sos>	삼촌은 
<sos>리코<sos>	리코
<sos>어제 스토리<sos>	어제 스토리 
<sos>영국에서 리버풀으<sos>	영국에서 리버풀은
<sos>너는 베토벤이 뭐<sos>	너는 베토벤이 작
<sos>내가 저립해 맞고 ㅇ<sos>	내가 저렇게 맞고 있
<sos>중부에 마오쩌둥이<sos>	중국의 마오쩌둥이 
<sos>그러면<sos>	그 반대
<sos>휘발히<sos>	휘발유 
<sos>주유 손잡이는<sos>	주유 손잡이를 
<sos>이미 사준 거<sos>	이미 사준 거 
<sos>그 정도도 못하면 온맛있<sos>	그 정도도 못하면 물 마시
<sos>이 뻐꾸리<sos>	이 뻐꾸기, 
<sos>대표님이 일하시는데<sos>	대표님이 열심히 일하
<sos>기름값을 아니<sos>	기름값을 아끼
<sos>그리고 챙기<sos>	그리고 취미가
<sos>너무 수정<sos>	너무 조금 
<sos>화장품은 유통기한이 있<sos>	화장품은 유통기한이 있
<sos>그래<sos>	그래
<sos>신문처럼<sos>	옷장이나 
<sos>그렇지<sos>	그렇지
<sos>얼리를 수<sos>	원리를 조
<sos>알고<sos>	아이구
<sos>그런데 어느 날부<sos>	그런데 어느 날부
<sos>하얀 쇼토도<sos>	하얀 셔츠가 
<sos>이번 여름은 장ㅁ<sos>	이번 여름은 장마
<sos>이렇게 써서는<sos>	이렇게 써서는 
<sos>그런 있어<sos>	그런 기능
<sos>재미없어<sos>	재미 없었
